FIPS,city,name,State,area_land,pop_white,pop_black,pop_native,pop_asian,pop_hawaiian,pop_other_race,pop_two_races,average_household_size,pop_over_25,educ_less_hs,educ_hs,educ_some_college,educ_ba,educ_ma,educ_prof_school,educ_doctorate,hs_droput,hs_enrolled,pop_16_over,labor_force,unemployed,not_in_labor_force,total_employed,total_households,income_less_10000,"income_$10,000_$14,999","income $15,000 to $19,999","income $20,000 to $24,999","income $25,000 to $29,999","income $30,000 to $34,999","income$35,000 to $39,999","income $40,000 to $44,999","income$45,000 to $49,999","income $50,000 to $59,999","income $60,000 to $74,999","income $75,000 to $99,999","income $100,000 to $124,999","income $125,000 to $149,999","income  $150,000 to $199,999","income $200,000 or More",median_household_income,median_income_black,median_income_black,median_income_asian,median_income_pacific_island,median_income_other_race,median_income_two_races,median_income_hispanic,median_income_white,per_capita_income,gini_index,Owner Occupied Housing Units,owner_housing_white,owner_housing_non_white,Median Gross Rent,avg_rent,paying_30_home,paying_at_least_50,avg_commute,poverty_overall,poverty_male,poverty_female
11780,Ashtabula,"Ashtabula, OH Micro Area",OH,702.0727756,90979,3696,158,486,53,533,2231,2.51,68500,9608,30434,18792,6324,2674,405,263,480,4279,78985,42908,3111,36077,39737,37652,3424,2550,2498,2547,2026,2239,1674,1922,1963,3348,3824,4331,2430,1252,1034,590,44823,24489,,87292,,,21056,44236,46054,22817,0.4439,26382,25208,1174,679,637.6131322,5286,2238,26,19216,9140,10076
11820,Astoria,"Astoria, OR Micro Area",OR,828.1430308,35170,282,223,400,126,574,1787,2.37,27935,2357,7019,11691,4230,2031,293,314,212,1521,31904,19040,1113,12864,17307,15910,820,719,777,903,867,938,896,843,752,1283,1651,2010,1636,747,676,392,52583,28393,39261,40750,,72969,32113,46763,53595,28750,0.4145,9818,9210,608,906,923.6047275,2484,935,20,3977,1815,2162
11860,Atchison,"Atchison, KS Micro Area",KS,431.1743962,14785,378,77,71,10,26,1016,2.49,10065,761,3785,3311,1406,554,57,191,73,1052,12837,8099,376,4738,7721,5980,403,369,444,333,310,318,319,255,319,617,621,598,479,274,202,119,48667,39737,,,,,25250,26357,50158,24224,0.45,4090,3788,302,675,560.8994709,828,226,18,2643,1087,1556
11900,Athens,"Athens, OH Micro Area",OH,503.6266361,59769,1889,333,1781,64,292,1808,2.49,36640,3827,12773,9148,4962,3826,445,1659,72,8663,57356,29805,2284,27551,27470,22620,3813,1542,1460,1426,1279,1106,996,1003,841,1383,2071,2385,1240,788,729,558,37778,29741,27500,21080,,42852,18834,26250,39683,20745,0.5096,12698,12138,560,764,772.5055432,2453,1079,20,17212,8856,8356
11940,Athens,"Athens, TN Micro Area",TN,430.1167851,48645,2018,135,396,26,478,1075,2.53,37212,5665,15867,9800,3877,1447,310,246,99,2362,42660,22747,1582,19913,21141,20427,2108,1563,1446,1405,1383,984,1050,1006,839,1647,1872,2063,1283,892,615,271,41398,30463,,121406,,21955,,27059,41935,23842,0.492,15174,14292,882,668,616.3715972,2863,1229,23,10077,4603,5474
11980,Athens,"Athens, TX Micro Area",TX,873.7729688,71849,5243,666,530,37,1020,1115,2.56,56575,9317,19091,17861,6846,2972,342,146,188,4054,65173,33304,1697,31869,31583,30885,2229,1973,2012,1813,2063,1844,1619,1657,1303,2482,2931,3813,1954,1127,1190,875,45798,30217,42059,61154,,31750,51172,31532,49032,25280,0.4678,23583,20296,3287,770,671.6926869,4727,1746,31,13782,6144,7638
12020,Athens-Clarke County,"Athens-Clarke County, GA Metro Area",GA,1024.938704,147231,41516,289,6976,85,4543,4663,2.53,124111,15784,30832,30102,23442,14244,3815,5892,277,17274,168595,102481,6178,66114,96087,76650,8364,4752,4973,4564,3952,4324,3201,4058,3029,5621,5945,7643,6088,3439,3273,3424,45246,27810,81336,48514,26500,30781,35139,34349,53405,26301,0.5087,41807,32900,8907,844,858.7836868,8169,3571,22,45024,21085,23939
12060,Atlanta-Sandy Springs-Roswell,"Atlanta-Sandy Springs-Roswell, GA Metro Area",GA,8685.707084,3122337,1961791,20660,332056,2542,188838,151239,2.76,3805068,409654,917016,1040012,899612,389935,92501,56338,13570,305518,4504186,3018271,178439,1485915,2835596,2065239,114388,73783,80593,87794,89375,90547,86599,92442,83417,160650,211246,268229,192141,127686,141708,164641,64766,50065,38636,81633,,45769,61553,50246,78432,33481,0.4716,1303504,818436,485068,1106,1120.047654,285484,117156,32,741832,323227,418605
12100,Atlantic City-Hammonton,"Atlantic City-Hammonton, NJ Metro Area",NJ,555.5131838,178914,40319,969,21567,115,16567,10088,2.63,185383,24304,59511,50832,33951,11753,3350,1682,376,13625,217525,141178,13480,76347,127434,99874,5828,4758,5334,4845,4760,4260,4758,4068,3918,7415,9374,12062,9531,6137,6631,6195,59989,34352,40208,58909,,42182,42480,44349,73899,31366,0.4615,67336,50813,16523,1094,1075.822116,25785,11498,24,37471,16682,20789
12120,Atmore,"Atmore, AL Micro Area",AL,945.2226033,23095,11920,1437,135,72,232,437,2.57,25965,4792,11546,6340,2079,951,150,107,263,1505,29981,14077,1895,15904,12182,13428,2037,1116,1003,957,847,754,816,707,625,978,1018,1132,547,381,354,156,35000,22506,32075,,,,,,42240,18161,0.4823,9237,6731,2506,587,514.125507,1309,617,23,8268,3513,4755
